2025-01-11 07:18:45,363 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 363199), 'source': '192.168.1.169', 'destination': '20.42.65.84', 'protocol': 'TCP', 'size': 1454, 'time_relative': 3.589347, 'src_port': 56939, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:45,364 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 363905), 'source': '192.168.1.169', 'destination': '20.42.65.84', 'protocol': 'TCP', 'size': 735, 'time_relative': 3.590048, 'src_port': 56939, 'dst_port': 443, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:45,431 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 431720), 'source': '192.168.1.1', 'destination': '192.168.1.169', 'protocol': 'UDP', 'size': 212, 'time_relative': 3.657886, 'src_port': 53, 'dst_port': 49735}
2025-01-11 07:18:45,437 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 436848), 'source': '192.168.1.1', 'destination': '192.168.1.169', 'protocol': 'UDP', 'size': 257, 'time_relative': 3.663021, 'src_port': 53, 'dst_port': 51815}
2025-01-11 07:18:45,640 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 640317), 'source': '20.42.65.84', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 105, 'time_relative': 3.866496, 'src_port': 443, 'dst_port': 56939, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:45,643 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 642657), 'source': '192.168.1.169', 'destination': '20.42.65.84', 'protocol': 'TCP', 'size': 66, 'time_relative': 3.868894, 'src_port': 56939, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:45,648 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 648143), 'source': '20.42.65.84', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 66, 'time_relative': 3.874295, 'src_port': 443, 'dst_port': 56939, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:45,942 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 942145), 'source': '20.42.65.84', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 165, 'time_relative': 4.168327, 'src_port': 443, 'dst_port': 56939, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:45,944 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 943970), 'source': '192.168.1.169', 'destination': '20.42.65.84', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.170159, 'src_port': 56939, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:45,959 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 959364), 'source': '136.143.189.20', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 90, 'time_relative': 4.185563, 'src_port': 443, 'dst_port': 57550, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:45,965 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 960641), 'source': '192.168.1.169', 'destination': '136.143.189.20', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.191448, 'src_port': 57550, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:45,966 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 966420), 'source': '136.143.189.20', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.192588, 'src_port': 443, 'dst_port': 57550, 'tcp_flags': <Flag 17 (FA)>}
2025-01-11 07:18:45,967 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 45, 967691), 'source': '192.168.1.169', 'destination': '136.143.189.20', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.193838, 'src_port': 57550, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:46,019 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 19695), 'source': '192.168.1.169', 'destination': '20.42.65.84', 'protocol': 'TCP', 'size': 101, 'time_relative': 4.24588, 'src_port': 56939, 'dst_port': 443, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,025 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 25177), 'source': '192.168.1.169', 'destination': '136.143.189.20', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.251346, 'src_port': 57550, 'dst_port': 443, 'tcp_flags': <Flag 17 (FA)>}
2025-01-11 07:18:46,230 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 230158), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 151, 'time_relative': 4.456331, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,231 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 231513), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 1454, 'time_relative': 4.45768, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:46,232 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 232654), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 1132, 'time_relative': 4.45882, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,363 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 363788), 'source': '20.42.65.84', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.589967, 'src_port': 443, 'dst_port': 56939, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:46,365 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 364826), 'source': '136.143.189.20', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.590994, 'src_port': 443, 'dst_port': 57550, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:46,366 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 365987), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 151, 'time_relative': 4.592154, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,369 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 369486), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 632, 'time_relative': 4.595663, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,370 - INFO - Bandwidth Usage: 0.03 Mbps
2025-01-11 07:18:46,400 - INFO - Bandwidth Usage: 0.03 Mbps
2025-01-11 07:18:46,429 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 429170), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 101, 'time_relative': 4.655321, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,429 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 429883), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.65603, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:46,437 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 437579), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.66373, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:46,526 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 526627), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 499, 'time_relative': 4.752777, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,530 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 527425), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.753584, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:46,531 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 530916), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 97, 'time_relative': 4.757061, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,531 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 531510), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.757651, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
